Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7,Menu8
wed,115,완두콩밥,들깨미역국,야채찜닭납작당면,사각어묵볶음,동초겉절이,포기김치,수정과,
thu,124,취나물밥양념장,황태무국,제육볶음,구이김양념장,치커리무생채,포기김치,파이,
fri,117,흑미밥,돈육김치찌개,비엔나브로콜리볶음,야채비빔막국수,단무지무침,열무김치,호박죽,
mon,68,봄나물비빔밥,청양된장찌개,계란후라이,메밀전병,호박씨멸치볶음,포기김치,식혜,
tue,173,찰기장밥,감자수제비국,제육김치볶음,깻잎멸치조림,참나물무생채,깍두기,미숫가루,
wed,118,귀리밥,닭개장,돈민찌두부조림,둥근어묵볶음,오이양파무침,배추김치,약과,
thu,88,강낭콩밥,김치두부국,돈육장조림,야채고로케케찹,트리플빈샐러드이탈리안D,배추김치,오미자차,
fri,115,잡곡밥,들깨무채국,닭살데리야끼조림,감자야채전,콩나물무침,배추김치,망고주스,
mon,74,완두콩밥,유부장국,마파두부,고기김치손만두,단무지,배추김치,그린샐러드키위D,
tue,186,강낭콩밥,얼큰콩나물국,고추장불고기,어슷어묵볶음,상추쌈쌈장,배추김치,단호박건포도범벅,
wed,157,완두콩밥,양송이스프,순살돈까스소스,샐러드스파게티,수제피클,배추김치,오렌지,생채비빔나물
mon,155,미니보리밥,잔치국수,닭장각오븐구이허니머스타드,,,배추김치,오미자차,생채비빔나물
tue,129,귀리밥,배추시락국,코다리무조림,누들떡볶이,모듬튀김,포기김치,식혜,
wed,81,잡곡밥,순대돼지국밥다대기,깻잎야채전,견과류멸치볶음,햇양파무장아찌,깍두기,약과,
thu,154,찰기장밥,북어무국,닭볶음탕,한식잡채,콩나물미나리무침,배추김치,밤만쥬빵,그린샐러드
fri,139,흑미밥,돈육김치찌개,부들계란찜,표고가지탕수육,청경채오이생채,배추김치,수정과,콘슬로우샐러드
tue,123,완두콩밥,떡만두국,제육볶음,도토리묵무침,근대양배추찜양념장,볶음김치,호박죽,
wed,90,청양고추소시지오므라이스소스,미역두부장국,토마토그린샐러드,바게트마늘빵,수제피클,포기김치,생채비빔나물,
thu,185,강낭콩밥,얼큰소고기국,생선까스타르타르s,매콤두부조림,우엉채볶음,배추김치,그린샐러드,
fri,156,흑미밥,어묵국,제육볶음,비엔나떡볶음,오이부추무침,배추김치,망고주스,
mon,144,미니밥,냉메밀국수,파닭순살치킨,수제무피클,,포기김치,생채비빔나물,
tue,100,잡곡밥,들깨미역국,간장불고기,매콤감자조림,맛살콩나물냉채,포기김치,펜네샐러드,
wed,79,보리열무비빔밥,청양초된장찌개,계란후라이,마늘쫑어묵볶음,호박씨멸치볶음,포기김치,그래놀라요거트,
thu,194,콩나물밥쪽파양념장,된장찌개,뼈없는닭갈비,참나물무생채,구이김장,배추김치,바나나,
fri,115,흑미밥,등뼈감자탕,오징어무침회,한식잡채,아삭고추된장무침,깍두기,미숫가루,
tue,142,귀리밥,새알미역국,콩나물불고기,깻잎멸치조림,오이양파무침,포기김치,펜네샐러드,
wed,99,완두콩밥,짬뽕국,짜장소스,탕수육만두깐풍S,단무지,포기김치,마시는요구르트,
thu,170,흑미밥,청량된장찌개,돼지훈제구이허니머스타드,모듬쌈쌈장,콩나물부추무침,포기김치,열대과일샐러드,요거트D
fri,153,수수밥,육개장,닭불고기,야채쫄면,열무된장무침,포기김치,식혜,
mon,141,미니밥,열무냉면,매콤조각돈까스,콘슬로우샐러드,,냉면김치,생채비빔나물,
tue,130,김치볶음밥,맑은콩나물국,동인동갈비찜,계란후라이,구운버섯샐러드오리엔탈D,깍두기,오렌지,
wed,75,잡곡밥,돼지국밥다대기,깻잎감자채전,도토리묵무침,풋고추양파지,깍두기,요구르트,
thu,156,귀리밥,들깨미역국,북성로불고기,핫도그케찹,상추파채겉절이,포기김치,그린샐러드,요거트d
fri,140,흑미밥,오이냉국,안동찜닭당면,비빔꼬마만두,고추멸치볶음,포기김치,약과,
mon,115,잡곡밥,양송이스프,파인함박스테이크,토마토파스타,,수제피클,생채비빔나물,
tue,131,수수밥,닭개장,제육볶음,고구마떡맛탕,온두부,볶음김치,요구르트,
wed,93,야채볶음밥,미니우동,렌틸콩,왕새우튀김머스타드,그린샐러드오리엔탈d,배추김치,수제요거트,
mon,170,흑미밥,부대찌개,버섯불고기,콘치즈그라탕,치커리무생채,배추김치,미숫가루,
tue,127,귀리밥,두부된장국,묵은지돼지갈비찜,막국수,콩나물부추무침,깍두기,그린샐러드키위d,
wed,130,후리가케볶음밥,냉잔치국수,깐풍칠리만두,풋고추된장무침,,배추김치,요구르트,
thu,97,갈릭목살필라프,유부장국,비엔나떡볶음,알감자버터구이,단배추겉절이,배추김치,그린샐러드발사믹d,
fri,71,백미밥,설렁탕큰그릇,미니메밀전병,부들어묵마늘쫑볶음,,깍두기,망고주스,
mon,161,계란야채볶음밥,해물짬뽕국,야채듬뿍짜장,후르츠탕수육,사우젼d샐러드,단무지무침,요구르트,
tue,127,흑미밥,콩나물냉국,고구마닭갈비,우민찌연근조림,청경채양배추무침,배추김치,청포도주스,
wed,143,귀리밥,경상도소고기국,제육불고기,견과류멸치볶음,오이양파무침,깍두기,그린샐러드,오리엔탈d
thu,107,차조밥,참치김치찌개,매콤떡갈비찜,열무비빔국수,상추쌈쌈장,깍두기,냉녹차,
fri,93,김가루주먹밥,우동국물,국물떡볶이,순대김말이튀김,치커리유자생채,배추김치,단호박건포도범벅,
mon,140,베이컨김치볶음밥,들깨미역국,생선까스콘소스,불맛어묵볶음,황도샐러드요거트d,깍두기,매실주스,
tue,151,귀리밥,얼큰순두부찌개,백순대야채볶음,맛살계란찜,마늘쫑장아찌,배추김치,그린샐러드발사믹d,
wed,112,오므라이스미트볼데미S,유부장국,푸실리펜네샐러드,수제피클,,배추김치,마늘빵,
mon,109,흑미밥,김치수제비국,파채불고기,한식잡채,치커리무생채,깍두기,석류주스,
tue,60,백미밥,순대국밥다대기,감자야채전,온두부양념장,무양파지,배추김치,식혜,
wed,187,잡곡밥,짬뽕순두부국가,바몬드카레,순살돈까스데미S,양상추샐러드발사믹드레싱,배추김치,아이스홍초,
thu,118,흑미밥,육개장,데리야끼제육볶음,야채쫄면,상추파채겉절이,깍두기,약과,
fri,116,미니밥,동치미열무국수,닭강정,풋고추된장무침,,수제무피클,비빔나물,비빔장
mon,84,취나물밥양념장,된장찌개,짚신매운갈비찜,콘치즈버터구이,치커리무생채,배추김치,그린샐러드,
tue,71,떠먹는유부초밥,우동국물,반반떡볶이로제고추장,만두어묵튀김,꽃맛살와사마요샐러드,단무지무침,요구르트,
wed,154,완두콩밥백미밥,얼큰어무국,돈육짜장소스,탕수육깐풍S,아일랜드d샐러드,깍두기,밤만쥬빵,
thu,119,흑미밥,도토리무채국,매콤닭갈비,감자마카로니범벅,삼색냉채,배추김치,석류주스,
fri,147,참치야채비빔밥초장,청량된장찌개,비엔나떡볶음,야채계란찜,김가루대파무침,배추김치,바나나,
mon,105,기장밥,황태미역국,돈육두루치기,교동양념어묵,스틱채소양배추쌈오이.당근,배추김치,그린샐러드,
tue,83,백미밥,닭장각삼계탕,오징어초무침,무앙파지,,깍두기,수제식혜,
wed,175,흑미밥,만두육개장큰그릇,떡갈비구운야채,견과류멸치볶음,치커리무생채,깍두기,매실주스,
thu,154,콩나물밥양념장,아욱두부된장국,고추장불고기,고구마떡강정,부추겉절이,배추김치,그린샐러드,
