4,22,목,632,122,28,21,461,잡곡밥,들깨무채국,닭살데리야끼조림,감자야채전,115
4,23,금,632,177,28,28,399,완두콩밥,유부장국,마파두부,고기,74
4,26,월,631,133,28,55,415,강낭콩밥,얼큰콩나물국,고추장불고기,어슷어묵볶음,186
4,27,화,631,108,28,19,476,완두콩밥,양송이스프,순살돈까스,샐러드스파게티,157
4,28,수,631,106,28,11,486,미니보리밥,잔치국수,닭장각오븐구이,없음,155
4,29,목,631,115,28,19,469,귀리밥,배추시락국,코다리무조림,누들떡볶이,129
4,30,금,631,180,28,40,383,잡곡밥,순대돼지국밥,깻잎야채전,견과류멸치볶음,81
5,03,월,631,132,30,17,452,찰기장밥,북어무국,닭볶음탕,한식잡채,154
5,04,화,631,177,30,11,413,흑미밥,돈육김치찌개,부들계란찜,표고가지탕수육,139
5,06,목,631,143,30,26,432,완두콩밥,떡만두국,제육볶음,도토리묵무침,123
5,07,금,631,206,30,40,355,청양고추소시지오므라이스,미역두부장국,토마토그린샐러드,바게트마늘빵,90
5,10,월,632,150,30,18,434,강낭콩밥,얼큰소고기국,생선까스,매콤두부조림,185
5,11,화,632,128,30,14,460,흑미밥,어묵국,제육볶음,비엔나떡볶음,156
5,12,수,631,125,30,16,460,미니밥,냉메밀국수,파닭순살치킨,수제무피클,144
5,13,목,631,125,30,27,449,잡곡밥,들깨미역국,간장불고기,매콤감자조림,100
5,14,금,630,160,30,21,419,보리열무비빔밥,청양초된장찌개,계란후라이,마늘쫑어묵볶음,79
5,17,월,630,134,30,11,455,콩나물밥,된장찌개,뼈없는닭갈비,참나물무생채,194
5,18,화,630,148,30,16,436,흑미밥,등뼈감자탕,오징어무침회,한식잡채,115
5,20,목,630,156,30,27,417,귀리밥,새알미역국,콩나물불고기,깻잎멸치조림,142
5,21,금,625,195,29,16,385,완두콩밥,짬뽕국,짜장소스,탕수육,99
5,24,월,625,128,29,14,454,흑미밥,청량된장찌개,돼지훈제구이,모듬쌈,170
5,25,화,625,103,30,11,481,수수밥,육개장,닭불고기,야채쫄면,153
5,26,수,625,103,30,19,473,미니밥,열무냉면,매콤조각돈까스,콘슬로우샐러드,141
5,27,목,625,126,30,23,446,김치볶음밥,맑은콩나물국,동인동갈비찜,계란후라이,130
5,28,금,625,171,30,27,397,잡곡밥,돼지국밥,깻잎감자채전,도토리묵무침,75
5,31,월,625,155,29,9,432,귀리밥,들깨미역국,북성로불고기,핫도그,156
6,01,화,625,92,28,14,491,흑미밥,오이냉국,안동찜닭,비빔꼬마만두,140
6,02,수,625,109,28,14,474,잡곡밥,양송이스프,파인함박스테이크,토마토파스타,115
6,03,목,625,119,28,28,450,수수밥,닭개장,제육볶음,고구마,131
6,04,금,623,177,28,26,392,야채볶음밥,미니우동,렌틸콩,왕새우튀김,93
6,07,월,623,137,28,7,451,흑미밥,부대찌개,버섯불고기,콘치즈그라탕,170
6,08,화,623,141,28,14,440,귀리밥,두부된장국,묵은지돼지갈비찜,막국수,127
6,09,수,623,115,28,18,462,후리가케볶음밥,냉잔치국수,깐풍칠리만두,풋고추된장무침,130
