일자,요일,정원,휴가자,출장자,초근,재택,Menu2,Menu3,Menu4,중식계,검증DT
2022-04-14,목,645,145,29,0,7,시락국,제육김치볶음,고구마떡맛탕,78,100
2022-04-15,금,645,229,29,0,3,,청양크림함박,그린샐러드,85,100
2022-04-18,월,645,140,29,0,4,돈육김치찌개,한식잡채,오징어초무침,130,100
2022-04-19,화,644,130,29,0,4,청양된장찌개,단호박&고구마튀김,,130,100
2022-04-20,수,643,139,29,0,6,바지락미역국,닭살데리야끼조림,땅콩멸치볶음,101,100
2022-04-21,목,643,144,29,0,7,김치콩나물국,제육간장불고기,쫄면야채무침,94,100
2022-04-22,금,642,217,29,0,4,짬뽕국,짜장소스,탕수육*칠리소스,75,100
2022-04-25,월,642,150,30,0,4,떡만두국,콩나물불고기,충무식오징어무침,132,100
2022-04-26,화,642,122,30,0,8,모듬햄김치찌개,고등어엿장구이,동초무생채,125,100
2022-04-27,수,642,121,30,0,9,얼큰소고기국,시금치프리타타,마늘쫑어묵볶음,81,100
2022-04-28,목,641,130,30,0,6,돼지순대국&다대기,바싹김치전,도토리묵야채무침,76,100
2022-04-29,금,641,198,30,0,5,유부장국,매콤달콤떡볶이,김말이&만두튀김,89,100
2022-05-02,월,641,142,28,0,4,북어무국,닭볶음탕,한식잡채,141,100
2022-05-03,화,641,141,28,0,6,새알미역국,제육볶음,모듬쌈&강된장,124,100
2022-05-04,수,641,170,28,0,6,미니우동,피자돈까스,감자튀김*케찹,75,100
2022-05-06,금,640,387,28,0,4,닭개장,브로콜리비엔나볶음,마카로니콘샐러드,58,100
2022-05-09,월,640,143,28,0,9,감자된장찌개,돈육매운찜,계란맛살볶음,138,100
2022-05-10,화,640,122,28,0,10,참치김치찌개,고등어무조림,춘권&사모사*칠리,79,100
2022-05-11,수,639,127,28,0,8,전주식콩나물국,제육볶음,부추양파무침,81,100
2022-05-12,목,639,124,28,0,3,근대된장국,돈육계란장조림,야채비빔만두,56,100
2022-05-13,금,639,177,28,0,5,얼큰어묵국,로제떡볶이,순대찜,58,100
2022-05-16,월,639,137,28,0,8,북어미역국,제육김치볶음,온두부*양념장,137,100
2022-05-17,화,638,107,28,0,4,바지락순두부찌개,오징어까스*타르타르S,야채쫄면,113,100
2022-05-18,수,638,98,27,0,2,♣냉모밀국수(大),등심돈까스,양배추샐러드,116,100
2022-05-19,목,638,121,27,0,4,등뼈감자탕,청양고추왕동그랑땡,도라지진미채무침,84,100
2022-05-20,금,638,212,27,0,3,오징어콩나물국,닭살데리야끼조림,콩알버섯어묵볶음,62,100
2022-05-23,월,637,160,28,0,12,청양된장찌개,오징어돈육볶음,콘치즈버터구이,124,100
2022-05-24,화,637,125,28,0,6,콩나물냉국,뼈없는묵은지찜닭,크림떡볶이,108,100
2022-05-25,수,637,145,28,0,3,물만두국,청양고추소시지구이,만다린샐러드,118,100
2022-05-26,목,637,135,28,0,2,닭칼국수,바싹김치전,도토리묵무침,102,100
2022-05-27,금,636,214,28,0,5,유부장국,계란후라이,모듬가츠,71,100
2022-05-30,월,636,160,28,0,6,♣모시조개콩나물국,파채버섯불고기,브로콜리맛살볶음,119,100
2022-05-31,화,643,174,28,0,4,돈육김치찌개,고등어엿장구이,애기열무겉절이,96,100
2022-06-02,목,642,160,28,0,7,오이미역냉국,군만두,양배추샐러드,99,100
2022-06-03,금,635,216,28,0,6,손만두떡국(大),단호박&고구마튀김,오징어초무침,84,100
2022-06-07,화,635,135,28,0,4,차돌된장찌개,브로콜리비엔나볶음,한식잡채,122,100
2022-06-08,수,635,94,28,0,5,들깨미역국,사각어묵볶음,마카로니콘샐러드,116,100
2022-06-09,목,635,99,28,0,2,♣김치말이국수,메밀전병,,105,100
2022-06-10,금,635,154,29,0,3,육개장,소시지달걀부침,♣가지볶음,65,100
2022-06-13,월,635,138,30,0,6,배추된장국,국물깻잎닭갈비,알감자조림,114,100
2022-06-14,화,634,132,30,0,6,계란국,마파두부소스,미트볼조랭이떡강정,115,100
2022-06-15,수,632,119,30,0,3,♣도토리묵냉국,돈육김치찜,호박느타리볶음,111,100
2022-06-16,목,631,137,30,0,6,닭고기쌀국수,핫도그,,104,100
2022-06-17,금,631,201,30,0,9,영양닭죽,♣표고가지탕수육,아삭고추양파무침,84,100
2022-06-20,월,631,144,30,0,7,돈육김치찌개,오징어까스*타르타르S,♣가지양파볶음,130,100
2022-06-21,화,632,119,31,0,5,새알미역국,고추장불고기,모듬쌈&강된장,124,100
2022-06-22,수,632,131,31,0,4,북어무국,돈육계란장조림,♣얼갈이겉절이,110,100
2022-06-23,목,631,119,31,0,2,미소된장국,굴소스볶음우동,그린샐러드,84,100
2022-06-24,금,631,196,31,0,6,콩나물냉국,계란후라이,으깬감자샐러드,65,100
2022-06-28,화,631,108,32,0,6,김치콩나물국,바싹불고기,알감자버터구이,148,100
2022-06-29,수,630,122,32,0,7,닭볶음탕,야채고로케*케찹,비빔당면,136,100
2022-06-30,목,630,132,32,0,6,♣물냉면,왕만두,단무지,100,100
2022-07-01,금,630,180,31,0,4,만두육개장(大),청경채찜,도라지진미채무침,68,100
2022-07-04,월,630,134,31,0,7,참치김치찌개,뼈없는안동찜닭,깻잎멸치볶음,145,100
2022-07-05,화,649,103,31,0,6,바지락순두부찌개,통계란떡볶이,해쉬포테이토,130,100
2022-07-06,수,650,132,31,0,5,♣냉모밀국수(大),등심돈까스,양배추샐러드,95,100
2022-07-07,목,650,120,31,0,3,물떡어묵탕,불맛제육볶음,야채비빔만두,112,100
2022-07-08,금,650,213,32,0,5,사골떡만두국(大),모듬야채전,오징어초무침,81,100
2022-07-11,월,650,167,32,0,10,부대찌개,돈육두부짜글이,콘치즈버터구이,156,100
2022-07-12,화,649,132,32,0,4,북어미역국,생선까스*타르타르S,쫄면야채무침,140,100
2022-07-13,수,648,116,32,0,5,짬뽕국,짜장볶음우동,돈까스샐러드,136,100
2022-07-14,목,647,143,32,0,7,♣가지냉국,돈육김치찜,어묵채파프리카볶음,70,100
2022-07-15,금,647,217,32,0,9,"초복맞이
♣닭곰탕*당면",단호박&고구마튀김,오징어젓갈무침,71,100
2022-07-18,월,647,184,33,0,17,감자수제비국,콩나물불고기,충무식오징어무침,157,100
2022-07-19,화,647,127,33,0,4,돈육김치찌개,고등어카레구이,우엉땅콩조림,96,100
2022-07-20,수,647,134,33,0,12,차돌된장찌개,부들계란찜,로제떡볶이,105,100
2022-07-21,목,647,142,33,0,4,냉잔치국수,순대야채볶음,고추양파된장무침,103,100
2022-07-22,금,647,212,33,0,16,오징어무국,야채듬뿍카레소스,미트볼조랭이떡강정,63,100
2022-07-25,월,647,179,33,0,0,북어무국,닭살데리야끼조림,양념오뎅,108,100
2022-07-26,화,646,144,33,0,0,뼈없는감자탕,한식잡채,깐풍만두튀김,88,100
2022-07-27,수,647,152,33,0,1,근대된장국,돈육매운찜,계란맛살볶음,99,100
2022-07-28,목,647,166,33,0,0,콩나물냉국,짬뽕덮밥소스,계란후라이,103,100
2022-07-29,금,647,270,33,0,2,얼큰소고기버섯국,소시지달걀부침,♣도라지진미채무침,64,100
2022-08-01,월,646,222,32,0,3,부대찌개,돈육두부조림,우엉땅콩볶음,94,100
2022-08-02,화,646,205,32,0,7,콩나물냉국,피쉬앤칩스,그린샐러드,135,100
2022-08-03,수,645,190,32,0,3,돈육김치찌개,비엔나떡볶음,깻잎멸치조림,100,100
2022-08-04,목,630,166,32,0,3,미니모밀국수,오징어불고기,달걀두부구이,93,100
2022-08-05,금,630,256,32,0,3,계란국,짜장소스,깐풍칠리만두,86,100
2022-08-08,월,630,187,32,0,3,감자된장찌개,고추장불고기,어묵피망볶음,166,100
2022-08-09,화,630,159,32,0,3,돈육김치찌개,새우까스&타르타르s,♣애기열무겉절이,168,100
2022-08-10,수,630,169,32,0,3,닭개장,메밀전병,청포묵김무침,132,100
2022-08-11,목,630,173,31,0,3,미소된장국,순살등심돈까스,토마토스파게티,105,100
2022-08-12,금,630,244,31,0,3,해물칼국수,왕만두,도토리묵무침,65,100
2022-08-16,화,629,220,32,0,3,오이미역냉국,돈육김치찜,알감자조림,152,100
2022-08-17,수,629,186,32,0,3,모듬어묵국,치킨까스,쫄면야채무침,139,100
2022-08-18,목,629,188,32,0,3,북어미역국,떡갈비새송이조림,견과류멸치볶음,92,100
2022-08-19,금,628,282,32,0,3,떡만두국,오징어야채무침,청양동그랑땡전,87,100
2022-08-22,월,628,88,32,0,3,청양된장찌개,당면야채찜닭,♣가지양파볶음,182,100
2022-08-23,화,627,94,32,0,3,바지락순두부찌개,불맛제육볶음,느타리버섯호박볶음,186,100
2022-08-24,수,655,90,32,0,3,오이미역냉국,사각어묵볶음,펜네샐러드,175,100
2022-08-25,목,655,97,32,0,3,냉모밀국수(미니),계란장조림,야채고로케*케찹,144,100
2022-08-26,금,655,274,32,0,3,유부장국,순대국물떡볶이,모듬튀김,63,100
2022-08-29,월,654,241,32,0,3,근대된장국,고추장불고기,비빔당면,162,100
2022-08-30,화,653,198,32,0,3,돈육김치찌개,오징어까스*타르타르S,♣애기열무겉절이,118,100
2022-08-31,수,653,179,32,0,3,감자수제비국,국물,마늘쫑어묵볶음,131,100
