Date,Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7
2021-04-15,fri,117,쌀밥/흑미밥,돈육김치찌개,비엔나브로콜리볶음,야채비빔막국수,단무지무침,열무김치,호박죽
2021-04-16,mon,68,봄나물비빔밥,청양된장찌개,계란후라이,메밀전병,호박씨멸치볶음,포기김치,식혜
2021-04-19,tue,173,쌀밥/찰기장밥,감자수제비국,제육김치볶음,깻잎멸치조림,참나물무생채,깍두기,미숫가루
2021-04-20,wed,118,쌀밥/귀리밥,닭개장,돈민찌두부조림,둥근어묵볶음,오이양파무침,배추김치,약과
2021-04-21,thu,88,쌀밥/강낭콩밥,김치두부국,돈육장조림,야채고로케*케찹,트리플빈샐러드&이탈리안D,배추김치,오미자차
2021-04-22,fri,115,쌀밥/잡곡밥,들깨무채국,닭살데리야끼조림,감자야채전,콩나물무침,배추김치,망고주스
2021-04-23,mon,74,쌀밥/완두콩밥,유부장국,마파두부,고기&김치손만두,단무지,배추김치,그린샐러드&키위D
2021-04-26,tue,186,쌀밥/강낭콩밥,얼큰콩나물국,고추장불고기,어슷어묵볶음,상추쌈/쌈장,배추김치,단호박건포도범벅
2021-04-27,wed,157,쌀밥/완두콩밥,양송이스프,순살돈까스&소스,샐러드스파게티,수제피클,배추김치,오렌지/생채비빔나물
2021-04-28,mon,155,미니보리밥,잔치국수,닭장각오븐구이&허니머스타드,,,배추김치,오미자차/생채비빔나물
2021-04-29,tue,129,쌀밥/귀리밥,배추시락국,코다리무조림,누들떡볶이,모듬튀김,포기김치,식혜
2021-04-30,wed,81,쌀밥/잡곡밥,순대돼지국밥&다대기,깻잎야채전,견과류멸치볶음,햇양파무장아찌,깍두기,약과
2021-05-03,thu,154,쌀밥/찰기장밥,북어무국,닭볶음탕,한식잡채,콩나물미나리무침,배추김치,밤만쥬빵/그린샐러드
2021-05-04,fri,139,쌀밥/흑미밥,돈육김치찌개,부들계란찜,표고가지탕수육,청경채오이생채,배추김치,수정과/콘슬로우샐러드
2021-05-05,mon,,어린이날,,,,,,
2021-05-06,tue,123,쌀밥/완두콩밥,떡만두국,제육볶음,도토리묵무침,근대&양배추찜/양념장,볶음김치,호박죽
2021-05-07,wed,90,청양고추소시지/오므라이스&소스,미역두부장국,토마토그린샐러드,바게트마늘빵,수제피클,포기김치,생채비빔나물
2021-05-10,thu,185,쌀밥/강낭콩밥,얼큰소고기국,생선까스&타르타르s,매콤두부조림,우엉채볶음,배추김치,그린샐러드
2021-05-11,fri,156,쌀밥/흑미밥,어묵국,제육볶음,비엔나떡볶음,오이부추무침,배추김치,망고주스
2021-05-12,mon,144,미니밥,냉메밀국수,파닭순살치킨,수제무피클,,포기김치,생채비빔나물
2021-05-13,tue,100,쌀밥/잡곡밥,들깨미역국,간장불고기,매콤감자조림,맛살콩나물냉채,포기김치,펜네샐러드
2021-05-14,wed,79,보리열무비빔밥,청양초된장찌개,계란후라이,마늘쫑어묵볶음,호박씨멸치볶음,포기김치,그래놀라요거트
2021-05-17,thu,194,콩나물밥&/쪽파양념장,된장찌개,뼈없는닭갈비,참나물무생채,구이김/장,배추김치,바나나
2021-05-18,fri,115,쌀밥/흑미밥,등뼈감자탕,오징어무침회,한식잡채,아삭고추된장무침,깍두기,미숫가루
2021-05-19,mon,,부처님오신날,,,,,,
2021-05-20,tue,142,쌀밥/귀리밥,새알미역국,콩나물불고기,깻잎멸치조림,오이양파무침,포기김치,펜네샐러드
2021-05-21,wed,99,완두콩밥,짬뽕국,짜장소스,탕수육&만두*깐풍S,단무지,포기김치,마시는요구르트
2021-05-24,thu,170,쌀밥/흑미밥,청량된장찌개,돼지훈제구이*허니머스타드,모듬쌈*쌈장,콩나물부추무침,포기김치,열대과일샐러드/요거트D
2021-05-25,fri,153,쌀밥/수수밥,육개장,닭불고기,야채쫄면,열무된장무침,포기김치,식혜
